"요일별보고서(2025.06.01.~2025.06.30.),gudo_design:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원)
"화요일",14시~15시,1,4.17,4.3,77,77,0,0,0
"화요일",15시~16시,0,0,4.1,0,0,0,0,0
"화요일",16시~17시,0,0,3.6,0,0,0,0,0
"화요일",17시~18시,3,25,5.1,139,418,0,0,0
"화요일",18시~19시,0,0,4.8,0,0,0,0,0
"화요일",19시~20시,1,8.34,3.2,77,77,0,0,0
"화요일",20시~21시,1,16.67,1.3,77,77,0,0,0
"화요일",21시~22시,0,0,1.6,0,0,0,0,0
"화요일",22시~23시,0,0,2,0,0,0,0,0
"화요일",23시~00시,0,0,2.3,0,0,0,0,0
"수요일",00시~01시,0,0,2.9,0,0,0,0,0
"수요일",01시~02시,0,0,1,0,0,0,0,0
"수요일",02시~03시,0,0,1,0,0,0,0,0
"수요일",03시~04시,0,0,2,0,0,0,0,0
"수요일",04시~05시,0,0,1,0,0,0,0,0
"수요일",05시~06시,0,0,1.4,0,0,0,0,0
"수요일",06시~07시,0,0,2.7,0,0,0,0,0
"수요일",07시~08시,0,0,2,0,0,0,0,0
"수요일",08시~09시,0,0,3.7,0,0,0,0,0
"수요일",09시~10시,2,20,9.8,193,385,0,0,0
"수요일",10시~11시,0,0,3.6,0,0,0,0,0
"수요일",11시~12시,1,8.34,2.8,77,77,0,0,0
"수요일",12시~13시,0,0,3.5,0,0,0,0,0
"수요일",13시~14시,0,0,3.1,0,0,0,0,0
"수요일",14시~15시,0,0,2.5,0,0,0,0,0
"수요일",15시~16시,0,0,2.9,0,0,0,0,0
"수요일",16시~17시,0,0,3.7,0,0,0,0,0
"수요일",17시~18시,1,5,2.7,77,77,0,0,0
"수요일",18시~19시,0,0,2.5,0,0,0,0,0
"수요일",19시~20시,0,0,3.5,0,0,0,0,0
"수요일",20시~21시,1,12.5,2.4,264,264,0,0,0
"수요일",21시~22시,0,0,2.3,0,0,0,0,0
"수요일",22시~23시,0,0,2.7,0,0,0,0,0
"수요일",23시~00시,0,0,2.5,0,0,0,0,0
"목요일",00시~01시,0,0,1.5,0,0,0,0,0
"목요일",01시~02시,0,0,2.8,0,0,0,0,0
"목요일",02시~03시,0,0,1,0,0,0,0,0
"목요일",03시~04시,0,0,1.7,0,0,0,0,0
"목요일",05시~06시,0,0,1,0,0,0,0,0
"목요일",06시~07시,0,0,1.1,0,0,0,0,0
"목요일",07시~08시,0,0,4.3,0,0,0,0,0
"목요일",08시~09시,0,0,5.4,0,0,0,0,0
"목요일",09시~10시,0,0,2.6,0,0,0,0,0
"목요일",10시~11시,1,6.25,2.7,77,77,0,0,0
"목요일",11시~12시,0,0,2.3,0,0,0,0,0
"목요일",12시~13시,0,0,2.7,0,0,0,0,0
"목요일",13시~14시,0,0,4.1,0,0,0,0,0
"목요일",14시~15시,0,0,3.1,0,0,0,0,0
"목요일",15시~16시,0,0,2.3,0,0,0,0,0
"목요일",16시~17시,0,0,2.6,0,0,0,0,0
"목요일",17시~18시,1,10,4.5,77,77,0,0,0
"목요일",18시~19시,1,20,3,253,253,0,0,0
"목요일",19시~20시,0,0,5.8,0,0,0,0,0
"목요일",20시~21시,1,25,5.3,66,66,0,0,0
"목요일",21시~22시,1,9.1,3.1,77,77,0,0,0
"목요일",22시~23시,1,5.56,3.7,77,77,0,0,0
"목요일",23시~00시,0,0,4.6,0,0,0,0,0
"금요일",00시~01시,0,0,2.8,0,0,0,0,0
"금요일",01시~02시,0,0,1,0,0,0,0,0
"금요일",02시~03시,0,0,2,0,0,0,0,0
"금요일",05시~06시,0,0,1,0,0,0,0,0
"금요일",06시~07시,0,0,1.3,0,0,0,0,0
"금요일",07시~08시,0,0,2.8,0,0,0,0,0
"금요일",08시~09시,0,0,5.3,0,0,0,0,0
"금요일",09시~10시,0,0,4.7,0,0,0,0,0
"금요일",10시~11시,0,0,5.7,0,0,0,0,0
"금요일",11시~12시,0,0,3.9,0,0,0,0,0
"금요일",12시~13시,2,9.1,8.4,83,165,0,0,0
"금요일",13시~14시,0,0,5.3,0,0,0,0,0
"금요일",14시~15시,0,0,6.8,0,0,0,0,0
"금요일",15시~16시,0,0,2.5,0,0,0,0,0
"금요일",16시~17시,0,0,3.7,0,0,0,0,0
"금요일",17시~18시,1,14.29,1.6,77,77,0,0,0
"금요일",18시~19시,0,0,2.3,0,0,0,0,0
"금요일",19시~20시,0,0,3.8,0,0,0,0,0
"금요일",20시~21시,0,0,2.7,0,0,0,0,0
"금요일",21시~22시,0,0,1.8,0,0,0,0,0
"금요일",22시~23시,0,0,5.6,0,0,0,0,0
"금요일",23시~00시,0,0,3.7,0,0,0,0,0
"토요일",00시~01시,0,0,1.8,0,0,0,0,0
"토요일",01시~02시,0,0,3.2,0,0,0,0,0
"토요일",02시~03시,0,0,1.8,0,0,0,0,0
"토요일",04시~05시,0,0,2,0,0,0,0,0
"토요일",05시~06시,0,0,2.2,0,0,0,0,0
"토요일",06시~07시,0,0,1.3,0,0,0,0,0
"토요일",07시~08시,0,0,3,0,0,0,0,0
"토요일",08시~09시,0,0,5.8,0,0,0,0,0
"토요일",09시~10시,0,0,3.7,0,0,0,0,0
"토요일",10시~11시,0,0,4.7,0,0,0,0,0
"토요일",11시~12시,0,0,4,0,0,0,0,0
"토요일",12시~13시,0,0,4.5,0,0,0,0,0
"토요일",13시~14시,0,0,4.5,0,0,0,0,0
"토요일",14시~15시,1,14.29,3.6,132,132,0,0,0
"토요일",15시~16시,0,0,4,0,0,0,0,0
"토요일",16시~17시,0,0,3.8,0,0,0,0,0
"토요일",17시~18시,0,0,4.7,0,0,0,0,0
"토요일",18시~19시,0,0,4.1,0,0,0,0,0
"토요일",19시~20시,0,0,4.8,0,0,0,0,0
"토요일",20시~21시,0,0,3.7,0,0,0,0,0
"토요일",21시~22시,0,0,4,0,0,0,0,0
"토요일",22시~23시,0,0,2.7,0,0,0,0,0
"토요일",23시~00시,0,0,3.3,0,0,0,0,0
"일요일",00시~01시,1,7.7,1.2,77,77,0,0,0
"일요일",01시~02시,0,0,1.2,0,0,0,0,0
"일요일",02시~03시,0,0,2,0,0,0,0,0
"일요일",03시~04시,0,0,2,0,0,0,0,0
"일요일",04시~05시,0,0,1,0,0,0,0,0
"일요일",05시~06시,0,0,1.9,0,0,0,0,0
"일요일",06시~07시,1,14.29,1.4,110,110,0,0,0
"일요일",07시~08시,0,0,2.5,0,0,0,0,0
"일요일",08시~09시,0,0,2.5,0,0,0,0,0
"일요일",09시~10시,0,0,3.9,0,0,0,0,0
"일요일",10시~11시,0,0,3.8,0,0,0,0,0
"일요일",11시~12시,1,6.25,3.9,110,110,0,0,0
"일요일",12시~13시,0,0,3.3,0,0,0,0,0
"일요일",13시~14시,1,5.89,2.9,286,286,0,0,0
"일요일",14시~15시,1,4.17,3,77,77,0,0,0
"일요일",15시~16시,0,0,3.7,0,0,0,0,0
"일요일",16시~17시,0,0,3.9,0,0,0,0,0
"일요일",17시~18시,1,6.25,6.3,55,55,0,0,0
"일요일",18시~19시,0,0,5.2,0,0,0,0,0
"일요일",19시~20시,0,0,4.3,0,0,0,0,0
"일요일",20시~21시,0,0,1.5,0,0,0,0,0
"일요일",21시~22시,0,0,1.1,0,0,0,0,0
"일요일",22시~23시,1,11.12,2.7,220,220,0,0,0
"일요일",23시~00시,1,9.1,3.3,77,77,0,0,0
