"플레이스보고서(2025.06.01.~2025.06.30.),daonaa:naver"
"캠페인유형",캠페인,광고그룹유형,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",파워링크#1,파워링크,PC,대구신축투룸,4,0,0,0,4.3
"파워링크",파워링크#1,파워링크,PC,대구영남대역원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,대구영남대원룸,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,대구원룸부동산,1,0,0,0,9
"파워링크",파워링크#1,파워링크,PC,대구원룸투룸,2,0,0,0,3.5
"파워링크",파워링크#1,파워링크,PC,대구청춘부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대구투룸신축월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,대구한의대원룸,15,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,대구한의대원룸건물,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대구한의대학교근처원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,대구한의대학교원룸,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,미니투룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,미투식원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,백마부동산,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,부동산거래시세평수만층수도,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,부동산안전한매물,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,부동산원룸매매컨설팅,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,부동산원룸소개비,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,부동산중개소개비,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,부동산청년,3,0,0,0,2.7
"파워링크",파워링크#1,파워링크,PC,신대리원룸,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,신대부동산,18,0,0,0,1.4
"파워링크",파워링크#1,파워링크,PC,신대부적상가,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,신대부적원룸,10,1,506,506,1.2
"파워링크",파워링크#1,파워링크,PC,신대부적투룸,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,신대원룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,신축원룸월세,9,0,0,0,6.3
"파워링크",파워링크#1,파워링크,PC,아파트에방한칸을월세를놓을수없나요,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대1층상가임대,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영남대공인중개사,2,0,0,0,3.5
"파워링크",파워링크#1,파워링크,PC,영남대근처원룸,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대근처자취방,2,1,550,550,1
"파워링크",파워링크#1,파워링크,PC,영남대기숙사,41,0,0,0,1.6
"파워링크",파워링크#1,파워링크,PC,영남대매물,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대미니투룸,35,0,0,0,1.1
"파워링크",파워링크#1,파워링크,PC,영남대미대,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대미대뒷길,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대미대뒷길원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대백마부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대부동산,394,4,"1,086","4,345",2
"파워링크",파워링크#1,파워링크,PC,영남대부동산추천,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대사무실임대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대상가,18,0,0,0,1.6
"파워링크",파워링크#1,파워링크,PC,영남대상가월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영남대상가임대,2,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영남대신축원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대쓰리룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대역,337,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대역부동산,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영남대역원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대오피스텔,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크,PC,영남대오피스텔매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대원룸,525,9,"1,111","9,999",2.7
"파워링크",파워링크#1,파워링크,PC,영남대원룸가격,2,1,462,462,1
"파워링크",파워링크#1,파워링크,PC,영남대원룸매매,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대원룸사무실임대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대원룸월세,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크,PC,영남대원룸자취방,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대원룸집,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영남대원룸추천,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대원룸형사무실,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대월세,7,0,0,0,1.3
"파워링크",파워링크#1,파워링크,PC,영남대인근오피스텔,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대인근원룸임대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대자취,7,1,88,88,1.6
"파워링크",파워링크#1,파워링크,PC,영남대자취방,10,1,352,352,1.6
"파워링크",파워링크#1,파워링크,PC,영남대전세,23,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대집,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대청년부동산,3,1,187,187,1
"파워링크",파워링크#1,파워링크,PC,영남대청춘부동산,2,1,308,308,1
"파워링크",파워링크#1,파워링크,PC,영남대청춘사업,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대투룸,99,0,0,0,1.3
"파워링크",파워링크#1,파워링크,PC,영남대투룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대학교근처원룸,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교근처원룸부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교미대,2,1,77,77,1
"파워링크",파워링크#1,파워링크,PC,영남대학교미대근처원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교미대뒷길,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교부동산,6,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영남대학교역,5,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교오피스텔,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교원룸,19,1,506,506,3.4
"파워링크",파워링크#1,파워링크,PC,영남대학교원룸추천,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교월세,5,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남대학교자취,3,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영남부동산,72,1,286,286,1
"파워링크",파워링크#1,파워링크,PC,영대부동산,99,1,440,440,1.8
"파워링크",파워링크#1,파워링크,PC,영대상가,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영대상가월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,영대오렌지거리,2,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영대원룸,30,3,345,"1,034",2
"파워링크",파워링크#1,파워링크,PC,영대월세,3,1,374,374,3.7
"파워링크",파워링크#1,파워링크,PC,영대자취,2,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영대자취방,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,영대주변원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,영대투룸,5,0,0,0,2.2
"파워링크",파워링크#1,파워링크,PC,원룸건물주인집,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,원룸매매물방,2,0,0,0,3
"파워링크",파워링크#1,파워링크,PC,원룸미투투룸평수,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,원룸방의수,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,PC,원룸준신축가격,1,1,77,77,1
"파워링크",파워링크#1,파워링크,PC,원룸층수시세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,월세원룸부동산비,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,전세사는집이리모델링되면,1,0,0,0,1
"파워링크",파워링크#1,파워링크,PC,집공략부동산사당원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,청년부동산,119,0,0,0,1.7
"파워링크",파워링크#1,파워링크,PC,청년부동산매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,청춘공인중개사,25,0,0,0,1.2
"파워링크",파워링크#1,파워링크,PC,청춘부동산,138,6,161,968,1.1
"파워링크",파워링크#1,파워링크,PC,청춘의공인중개사,1,0,0,0,2
"파워링크",파워링크#1,파워링크,PC,투룸방이작아서거실을룸으로,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,건물무허가원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경북경산시한의대투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산25평월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산단독옥상투룸월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산대경대원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산대경대월세,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산대구대근처투룸,4,0,0,0,2.8
"파워링크",파워링크#1,파워링크,모바일,경산대구대월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산대구역원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산대구한의대근방원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산대구한의대원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산매매전세월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산매매한의대,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산매물,18,0,0,0,2.2
"파워링크",파워링크#1,파워링크,모바일,경산미니투룸,23,0,0,0,1.2
"파워링크",파워링크#1,파워링크,모바일,경산미투,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산방2개월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산복층투룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산부동산,31,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산부동산매물,9,0,0,0,3.8
"파워링크",파워링크#1,파워링크,모바일,경산부동산오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산사동근처원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산사동쓰리룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산사동원룸,57,0,0,0,3.1
"파워링크",파워링크#1,파워링크,모바일,경산사동원룸월세,19,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산사동월세,58,0,0,0,1.2
"파워링크",파워링크#1,파워링크,모바일,경산사동투룸,24,1,143,143,1.1
"파워링크",파워링크#1,파워링크,모바일,경산사동투룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산상가월세,9,0,0,0,1.4
"파워링크",파워링크#1,파워링크,모바일,경산상가임대,65,1,121,121,3.2
"파워링크",파워링크#1,파워링크,모바일,경산시단기원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산시대구한의대원룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산시사동원룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산시원룸매매,4,0,0,0,2.5
"파워링크",파워링크#1,파워링크,모바일,경산시원룸월세,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,경산시투룸월세,3,0,0,0,2.3
"파워링크",파워링크#1,파워링크,모바일,경산시투룸임대,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산신대,7,0,0,0,1.6
"파워링크",파워링크#1,파워링크,모바일,경산신대리아파트월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적아파트월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적원룸,4,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산신대부적원룸매매,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적월세,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적월세아파트,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산신대부적코아루월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산신대부적투룸,3,1,385,385,1
"파워링크",파워링크#1,파워링크,모바일,경산신대월세,2,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,경산신축아파트월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산신축오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산신축월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산쓰리룸월세,22,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,경산아파트자취전세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산역원룸시세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산역원룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산역전세시세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산역투룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영남대부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산영남대역원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산영남대역코아루,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산영남대역투룸,2,1,440,440,1
"파워링크",파워링크#1,파워링크,모바일,경산영남대오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산영남대원룸,36,3,510,"1,529",1.6
"파워링크",파워링크#1,파워링크,모바일,경산영남대학교원룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영대근처부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영대근처아파트,6,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,경산영대쓰리룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산영대에이스부동산,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산영대오피스텔,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영대원룸,25,1,352,352,3.1
"파워링크",파워링크#1,파워링크,모바일,경산영대원룸월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산영대월세,5,0,0,0,2.2
"파워링크",파워링크#1,파워링크,모바일,경산영대임대,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영대자취방,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산영대투룸월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산오피스텔,41,1,561,561,2.4
"파워링크",파워링크#1,파워링크,모바일,경산오피스텔쓰리룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산오피스텔쓰리룸월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산오피스텔원룸,2,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산오피스텔월세,30,0,0,0,2.2
"파워링크",파워링크#1,파워링크,모바일,경산원룸,178,0,0,0,1.8
"파워링크",파워링크#1,파워링크,모바일,경산원룸상가매매,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산원룸월세,3,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산원룸월세25,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산원룸정보,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산원룸주인세대월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산원룸투룸월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산월세임대,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산월세집,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산전세월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산정평미니투룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산조영동자취,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,경산주인세대,128,1,418,418,1.3
"파워링크",파워링크#1,파워링크,모바일,경산주인세대월세,16,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,경산주인세대전세,8,0,0,0,1.1
"파워링크",파워링크#1,파워링크,모바일,경산주택월세,3,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,경산주택전세월세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,경산청년부동산,23,0,0,0,1.4
"파워링크",파워링크#1,파워링크,모바일,경산청춘부동산,72,0,0,0,1.5
"파워링크",파워링크#1,파워링크,모바일,경산투룸,274,2,369,737,1.7
"파워링크",파워링크#1,파워링크,모바일,경산투룸오피스텔,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,경산투룸월세,77,5,464,"2,321",1.5
"파워링크",파워링크#1,파워링크,모바일,경산한의대원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,공인중개사소개비,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,내주변부동산매매,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,내집처럼중개해드립니다,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대경대근처원룸,3,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대경대원룸,13,1,66,66,2.1
"파워링크",파워링크#1,파워링크,모바일,대경대자취방,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대경대학교원룸,11,0,0,0,1.6
"파워링크",파워링크#1,파워링크,모바일,대경원룸,5,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구.투룸전세,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구20대원룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구경산단기원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산단기월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산부동산,2,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구경산쓰리룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산쓰리룸전세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산아파트부동산,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산아파트월세,3,0,0,0,2.3
"파워링크",파워링크#1,파워링크,모바일,대구경산영대원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산원룸,7,0,0,0,2.1
"파워링크",파워링크#1,파워링크,모바일,대구경산원룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산월세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산자취,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산자취방,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산전세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산조용한원룸,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구경산투룸,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구경산투룸전세,2,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구대경대원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구대근처원룸,9,0,0,0,3.9
"파워링크",파워링크#1,파워링크,모바일,대구대근처투룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대쓰리룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구대원룸가격,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대원룸매매,4,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구대원룸사무실,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구대원룸월세,11,0,0,0,2.7
"파워링크",파워링크#1,파워링크,모바일,대구대원룸자취,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대원룸추천,8,0,0,0,2.9
"파워링크",파워링크#1,파워링크,모바일,대구대월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구대인근투룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대주변원룸,3,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대주변투룸,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구대투룸,7,0,0,0,2.1
"파워링크",파워링크#1,파워링크,모바일,대구대학교원룸,90,3,125,374,3.2
"파워링크",파워링크#1,파워링크,모바일,대구미니원룸,2,0,0,0,2.5
"파워링크",파워링크#1,파워링크,모바일,대구미니투룸오피스텔,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구부동산쓰리룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구시원룸,1,0,0,0,4
"파워링크",파워링크#1,파워링크,모바일,대구신축원룸월세,3,0,0,0,3.7
"파워링크",파워링크#1,파워링크,모바일,대구아파트쓰리룸월세,2,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구영남대근처원룸,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구영남대원룸,4,2,539,"1,078",1.8
"파워링크",파워링크#1,파워링크,모바일,대구영남대학교근처원룸,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구영남대학교부동산,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구영대상가부동산,4,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구영대역전세집,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구영대청춘,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구원룸50,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구원룸미니투룸월세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구원룸오피스텔신축,1,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구원룸주인세대전세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구원룸주인세대전세.,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구원룸층수4층월세,1,0,0,0,2
"파워링크",파워링크#1,파워링크,모바일,대구원룸투룸전세,1,0,0,0,1
"파워링크",파워링크#1,파워링크,모바일,대구월세쓰리룸,7,0,0,0,3
"파워링크",파워링크#1,파워링크,모바일,대구월세투룸,1,0,0,0,4
